phrase,translated_formal_phrase
How are you doing today,How are you doing today
Wie geht's dir heute,Wie geht es Ihnen heute
Can you help me please,Can you help me please
Könntest du mir bitte helfen,Könnten Sie mir bitte helfen
I need your advice,I need your advice
Ich brauche deinen Rat,Ich benötige Ihren Rat
Let's meet tomorrow,Let us meet tomorrow
Lass uns morgen treffen,Lassen Sie uns morgen treffen
Tell me what you think,Please let me know your opinion
Sag mir was du denkst,Bitte teilen Sie mir Ihre Meinung mit
Hey what’s up,Good day how are you
Was geht ab,Guten Tag wie geht es Ihnen
Thanks a lot for everything,Thank you very much for everything
Danke dir für alles,Ich danke Ihnen herzlich für alles
Nice to see you again,Nice to see you again
Schön dich wiederzusehen,Schön Sie wiederzusehen
Catch you later,See you later
Bis später,Auf Wiedersehen
